OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Kizzy,Produtor ,Mainstreet ,44,"4,211,941 ",932.677,,,,,811.620.733,,,Sereia - Mitsubishi - Loucura - Acende o Isqueiro - Na Onda,,0,448.631.285,41.067.635,448.631.285,Sereia - Loucura - Balão 2 - Cicatrizes - Amém,1.708.883.303,,61.236,,
jess beat,Produtor ,Mainstreet ,50,"1,730,843 ",8.814,,,,,232.924.113,,,Vermelho Ferrari - Frio e Calculista - Cicatrizes - To de Pé - Marta 10,,111.604,152.617.705,39.124.836,152.729.309,Vermelho Ferrari - Assault - Frio e Calculista - Feiticeira - Até de Manhã,538.271.127,,31.862,,
RUXN,Produtor ,Mainstreet ,47,"3,526,981 ",10.375,,,,,284.880.957,,,Loucura - Vida Rasa - Jordan - Pixadão - Droga e Festa,,0,109.176.658,21.543.877,109.176.658,Loucura - Distante de Tudo - Vida Rasa - Jogos e Apostas - Jogador,503.234.273,,17.927,,
MC Cabelinho,Aritsta ,Bairro 13,180,"10,965,780 ",7.604.435,,,,,3.267.213.526,,,Poesia Acústica #6: Era uma Vez - X1 - Poesia Acústica 13 - FOGO E GASOLINA - NÉ SEGREDO,3.620.000,1.847.111.979,2.483.433.024,779.614.704,4.330.545.003,A Cara do Crime (Nós Incomoda) - Poesia Acústica #6: Era uma Vez - X1 - MINHA CURA - ESSÊNCIA DE CRIA,10.081.191.553,,14.016.328,,
Brutos,Aritsta ,Bairro 13,19,434,2.995,,,,,46.674.957,,,VALHO NADA - Buscando o Melhor - De Lacoste - Eu Só Quero Você - Contando Malote,,127.220,62.350.043,10.795.416,62.477.263,VALHO NADA - Buscando o Melhor - De Lacoste - Ppg e Cruzada - Contando Malote,171.502.263,,39.172,,
A.R,Aritsta ,Bairro 13,2,431,47.095.417,,,,,46.452.084,,,VALHO NADA - Buscando o Melhor,,0,62.350.043,10.754.616,62.350.043,VALHO NADA,171.152.170,,13.733,,
Vinicin,Aritsta ,Bairro 13,5,442,8.512,,,,,47.191.130,,,VALHO NADA - Malandrex - Eu Até Tentei - Bandida - Te Vi De Legging,,0,63.243.994,10.911.097,63.243.994,VALHO NADA - Malandrex - Eu Até Tentei - Te Vi De Legging,173.679.118,,31.752,,
Mano R7,Aritsta ,Bairro 13,16,24,2.848,,,,,1.542.480,,,Desculpa - Ak te da bom dia - Rio de Janeiro - Na Relíkia - Quanto tempo tem,1.600,1.369.087,5.965,265.937,1.375.052,Desculpa - Verdades - OLHAR - Rio de Janeiro - Papo Reto,2.923.497,,22.964,,
Amorim,Aritsta ,Bairro 13,2,431,296,,,,,46.452.084,,,VALHO NADA - Buscando o Melhor,,0,62.350.043,10.776.302,62.350.043,VALHO NADA - Buscando o Melhor,171.152.170,,18.403,,
Budy ,Aritsta ,A Matilha ,11,180,1.317.349,,,,,85.193.670,,,Dia de Caça - Assault (Angra) - Fiquei Rico Cedo - Os Novos Donos - Reunião de Negócios,299.000,47.817.802,38.133.806,3.899.389,85.951.608,Assault (Angra) - Reunião de Negócios II - Reunião de Negócios - Viagem - Fala pra Mim,209.279.084,,348.663,,
MVK,Aritsta ,A Matilha ,13,258,29.538,,,,,27.289.267,,,O Tempo É Professor - Exibido - Ei Amor - Ei Amor - Drill 23,268.000,0,32.517.368,4.764.158,32.517.368,Exibido - Ei Amor - Ei Amor (Remix) - Drill 23 - Cidade Profana - Blogueira,92.324.003,,206.242,,
Pedrin ,Aritsta ,A Matilha ,18,150,102.683,,,,,32.950.715,,,12 - Pouca Idade - V8 - Proibidão 2022 - Rocket,49.700,2.764.753,22.969.417,5.570.427,25.734.170,Pouca Idade - 12 - 15771 - Rocket - Liberdade,81.654.302,,128.565,,
Filhão,Aritsta ,A Matilha ,17,54,3.647,,,,,3.739.647,,,Sem Sentimento - Acelero - Altura Que Nois Tá - Tropa do Poze Tropa do Sábio 10 Minutinhos 2+1 - Mina Perversa,,92.047,4.166.562,1.108.865,4.258.609,"Sem Sentimento - Altura Que Nois Tá - Na Pista - Que Beat É Esse, Beat Diferente - Ui Piranha Agacha e Mama",12.164.818,,412.777,,
Shenlong,Aritsta ,A Matilha ,10,546,30.335,,,,,54.338.794,,,Assault (Rio) - Assault Monopólio - Festa na Mainstreet - Vivência de Trap - Neuroses,,0,98.978.715,20.147.608,98.978.715,Assault (Rio) - Assault - Festa na Mainstreet - Neuroses - Vivência de Trap,252.296.224,,104.321,,
DEGE,Aritsta ,A Matilha ,16,108,23.775,,,,,17.718.142,,,12 - Proibidão 2022 - Quebra Osso - Reconstruir - Pitaya,1.220,36.352,233.397,126.861,269.749,Fases - Joga Pra Raul - Pequenos Valores - Eu Odeio Flash - Joga Essa Nota,18.221.288,,87.018,,
Hashi,Aritsta ,A Matilha ,12,31,19.360,,,,,1.993.296,,,Acelero - Cristo Redentor - Dá Pra Virar - Confia - Frio na Barriga,,0,687.058,229.523,687.058,Dá Pra Virar - Acelero - Poder Bélico (Paz no CPX) - Cristo Redentor - Traçantes De Parafal,3.367.412,,41.645,,
Benny,Aritsta ,A Matilha ,12,16,18.867,,,,,4.884.242,,,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Verão 021 - Sem Spoiler,9.860,35.649,8.308.779,1.115.568,8.344.428,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Meu Dinheiro - Verão 021,21.537.449,,25.036,,
Feek ,Aritsta ,A Matilha ,20,257,1.439,,,,,18.563.805,,,Maridão (feat. Borges & Orochi) - Vivência de Trap - XRE - Floripa - Camuflado,865,13.514,8.048.296,1.026.320,8.061.810,Maridão - Quebra Osso - Acelero - Poder Bélico (Paz no CPX) - Joga Pra Raul,34.673.911,,19.731,,
Oliveira ,Aritsta ,A Matilha ,8,39,967,,,,,5.245.410,,,Duas Doses - Drill 23 - Acelero - Te Ver Voltando - Fetiche,,0,452.546,331.313,452.546,Duas Doses - Acelero - Poder Bélico (Paz no CPX) - Boca - Traçantes De Parafal,6.150.502,,30.182,,
Pior versão de mim ,Aritsta ,A Matilha ,48,124,18.126,,,,,17.330.397,,,"Gasolina - Proibidão 2022 - Oi Oi, Reflexo de Bolinha - Vulgo Malvadão - Na arte do 157 Remix",2.250,1.235.805,1.443.004,2.088.176,2.678.809,"Oi Oi, Reflexo de Bolinha - Gasolina - Meia Noite - Pitaya - Vulgo Malvadão",21.452.210,,20.293,,
Oreozin ,Aritsta ,A Matilha ,10,114,1.158,,,,,5.474.446,,,Diamante - Acelero - Baw Baw - Partiu Bailão - Joga Pra Raul,97,20.038,1.248.085,727.758,1.268.123,Diamante - Produto - Acelero - Poder Bélico (Paz no CPX) - Partiu Bailão,7.990.654,,14.576,,
Peziinho,Aritsta ,A Matilha ,4,54,242,,,,,3.071.519,,,Set do Nemo 1 (Invicto) - Sem Stress - MINHA BITCH - Me Avista,,0,48.199,17.848,48.199,MINHA BITCH - AR 15 - Sem Stress - Me Avista,3.167.917,,14.515,,
Grone,Aritsta ,A Matilha ,19,53,1.495,,,,,3.018.324,,,Ouro e fuzil - Bota a Cara no Beco - Rival - Novo Artigo 157 - Mundo De Ilusões,6,99.791,1.848.776,109.600,1.948.567,Ouro e fuzil - Rival - Boca - Ak 47 - Velório,6.815.667,,5.970,,
VT no Beat,Produtor ,A Matilha ,34,175,2.441,,,,,13.583.966,,,Gasolina - Proibidão 2022 - Nós É Só Menorzin - Federal - Quem Diria,591,25.386,95.085.576,1.615.107,95.110.962,Gasolina - Nós É Só Menorzin - Linha Amarela - Federal - Quem Diria,203.780.504,,6.454,,
