OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Kizzy,Produtor ,Mainstreet ,44,,,Loucura,Viral Rio de Janeiro BR,29,42,,,,Sereia - Mitsubishi - Loucura - Acende o Isqueiro - Na Onda,,,,,0,Sereia - Loucura - Balão 2 - Cicatrizes - Amém,0,,61.236,,
jess beat,Produtor ,Mainstreet ,50,,,,,56,88,,,,Vermelho Ferrari - Frio e Calculista - Cicatrizes - To de Pé - Marta 10,3.630,,,,0,Vermelho Ferrari - Assault - Frio e Calculista - Feiticeira - Até de Manhã,0,,31.862,,
RUXN,Produtor ,Mainstreet ,47,,,"Loucura, Vida Rasa",Viral Rio de Janeiro BR,51,50,,,,Loucura - Vida Rasa - Jordan - Pixadão - Droga e Festa,,,,,0,Loucura - Distante de Tudo - Vida Rasa - Jogos e Apostas - Jogador,0,,17.927,,
MC Cabelinho,Aritsta ,Bairro 13,180,,,"Vamo Marolar, Loucura, Vida Rasa",Viral Rio de Janeiro BR - Viral São Paulo BR - BH - DF - Viral Vitória BR - Viral Rio Grande do Sul BR - Viral Curitiba BR - Viral Florianópolis BR - Viral Rio Branco BR - Viral Cuiabá BR - Viral Porto Alegre BR,3,8,,,,Poesia Acústica #6: Era uma Vez - X1 - Poesia Acústica 13 - FOGO E GASOLINA - NÉ SEGREDO,3.620.000,,,,0,A Cara do Crime (Nós Incomoda) - Poesia Acústica #6: Era uma Vez - X1 - MINHA CURA - ESSÊNCIA DE CRIA,0,,14.016.328,,
Brutos,Aritsta ,Bairro 13,19,,,,,80,152,,,,VALHO NADA - Buscando o Melhor - De Lacoste - Eu Só Quero Você - Contando Malote,2.880,,,,0,VALHO NADA - Buscando o Melhor - De Lacoste - Ppg e Cruzada - Contando Malote,0,,39.172,,
A.R,Aritsta ,Bairro 13,2,,,,,81,153,,,,VALHO NADA - Buscando o Melhor,,,,,0,VALHO NADA,0,,13.733,,
Vinicin,Aritsta ,Bairro 13,5,,,,,79,148,,,,VALHO NADA - Malandrex - Eu Até Tentei - Bandida - Te Vi De Legging,,,,,0,VALHO NADA - Malandrex - Eu Até Tentei - Te Vi De Legging,0,,31.752,,
Mano R7,Aritsta ,Bairro 13,16,,,,,102,200,,,,Desculpa - Ak te da bom dia - Rio de Janeiro - Na Relíkia - Quanto tempo tem,1.600,,,,0,Desculpa - Verdades - OLHAR - Rio de Janeiro - Papo Reto,0,,22.964,,
Amorim,Aritsta ,Bairro 13,2,,,,,82,154,,,,VALHO NADA - Buscando o Melhor,,,,,0,VALHO NADA - Buscando o Melhor,0,,18.403,,
Budy ,Aritsta ,A Matilha ,11,,,,,75,172,,,,Dia de Caça - Assault (Angra) - Fiquei Rico Cedo - Os Novos Donos - Reunião de Negócios,299.000,,,,0,Assault (Angra) - Reunião de Negócios II - Reunião de Negócios - Viagem - Fala pra Mim,0,,348.663,,
