OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Dfideliz,Aritsta ,Mainstreet ,36,2.670.871,478.320,,Viral São Paulo BR,122,73,871.204.232,,,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 2 (Cansou de Playboy) - Assault (Carro Forte),,226.212.315,302.319.469,102.410.573,528.531.784,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 2 (Cansou de Playboy) - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 4 (Acendo a Flor),1.502.146.589,,2.113.096,,
PL Quest,Aritsta ,Mainstreet ,149,1.540.213,844.595,CONFISSÕES PT1,Viral Rio de Janeiro BR,89,60,441.540.828,,,Plaqtudum - Revoada do Tubarão - Sessão do Descarrego - Berenice (Papasessions #6) [feat. CALIFFA] - Berenice (Papasessions #6) [feat. CALIFFA],1.030.000,5.504.296,509.728.540,22.554.474,515.232.836,"Revoada do Tubarão - Berenice (Papasessions #6) (feat. CALIFFA) - Preto e Dinheiro - Sessão do Descarrego - Obrigado, mãe Pt2",979.328.138,,286.669,,
Raffe,Aritsta ,Mainstreet ,54,1.204.927,201.439,,Viral Rio de Janeiro BR,28,91,158.937.199,,,A Cara do Crime (Nós Incomoda) - Fragrância - Tanto Faz - Rolex - Assault (Angra),32.100,556.847,308.772.205,36.825.025,309.329.052,Rolex - Champagne - Assault (Angra) - Jogos e Apostas - Ta em Cima da Hora,505.091.276,,360.659,,
Azevedo,Aritsta ,Mainstreet ,72,1.753.485,295.528,,Viral Rio de Janeiro BR,48,111,166.929.176,,,INVEJOSO - Mal Sei Falar de Amor - Desde Menorzin - Tropa do Mantém - Carro Bicho 2,13.100,40.196.757,128.459.021,15.059.573,168.655.778,Mal Sei Falar de Amor - INVEJOSO - Tropa do Mantém - Desde Menorzin - Carro Bicho 2,350.644.527,,181.317,,
Leviano,Aritsta ,Mainstreet ,41,2.583.344,81.815,,Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR,92,83,313.691.322,,,De Marola - Assault (Rio) - Vizão de Cria - Assault (Crime Perfeito) - Ego,37.100,62.941.609,32.005.973,27.642.194,94.947.582,De Marola - Goles Perdidos - XRE - Ela Tem - O Que Que Tem?,436.281.098,,460.961,,
Ajaxx,Produtor ,Mainstreet ,96,5.577.002,76.084,,,4,32,1.354.928.307,,,Freio da Blazer - Me Sinto Abençoado - Saturno - MINHA CURA - Quase uma Semana,,0,50.523.995,12.108.826,50.523.995,Não Vou Falhar - Outro Lugar - Sodoma e Gomorra - Chumbada - Diferenciado,1.417.561.128,,86.166,,
Kizzy,Produtor ,Mainstreet ,44,3.822.109,954.416,Loucura,Viral Rio de Janeiro BR,155,42,836.995.771,,,Sereia - Mitsubishi - Loucura - Acende o Isqueiro - Na Onda,,0,460.908.959,42.928.908,460.908.959,Sereia - Loucura - Balão 2 - Cicatrizes - Amém,1.340.833.638,,61.236,,
jess beat,Produtor ,Mainstreet ,50,1.647.631,9.378,,,156,88,239.046.613,,,Vermelho Ferrari - Frio e Calculista - Cicatrizes - To de Pé - Marta 10,3.630,112.951,155.140.463,39.772.481,155.253.414,Vermelho Ferrari - Assault - Frio e Calculista - Feiticeira - Até de Manhã,434.072.508,,31.862,,
RUXN,Produtor ,Mainstreet ,47,3.005.156,12.372,Loucura,Viral Rio de Janeiro BR,153,50,300.301.320,,,Loucura - Vida Rasa - Jordan - Pixadão - Droga e Festa,,0,115.261.524,23.019.329,115.261.524,Loucura - Distante de Tudo - Vida Rasa - Jogos e Apostas - Jogador,438.582.173,,17.927,,
MC Cabelinho,Aritsta ,Bairro 13,180,10.345.534,7.711.531,"Vamo Marolar, Loucura, Carta Aberta",Viral Rio de Janeiro BR - Viral São Paulo BR - BH - DF - Viral Vitória BR - Viral Rio Grande do Sul BR - Viral Curitiba BR - Viral Florianópolis BR - Viral Rio Branco BR - Viral Cuiabá BR - Viral Porto Alegre BR,157,8,3.779.007.175,,,Poesia Acústica #6: Era uma Vez - X1 - Poesia Acústica 13 - FOGO E GASOLINA - NÉ SEGREDO,3.620.000,1.880.455.349,2.527.648.204,795.221.377,4.408.103.553,A Cara do Crime (Nós Incomoda) - Poesia Acústica #6: Era uma Vez - X1 - MINHA CURA - ESSÊNCIA DE CRIA,8.982.332.105,,14.016.328,,
Brutos,Aritsta ,Bairro 13,19,396.865,3.171,,,165,152,47.647.408,,,VALHO NADA - Buscando o Melhor - De Lacoste - Eu Só Quero Você - Contando Malote,2.880,127.353,63.577.562,11.143.759,63.704.915,VALHO NADA - Buscando o Melhor - De Lacoste - Ppg e Cruzada - Contando Malote,122.496.082,,39.172,,
A.R,Aritsta ,Bairro 13,2,394.564,47.934.722,,,149,153,47.422.740,,,VALHO NADA - Buscando o Melhor,,0,63.577.562,11.102.683,63.577.562,VALHO NADA,122.102.985,,13.733,,
Vinicin,Aritsta ,Bairro 13,5,412.026,9.122,,,179,148,48.232.805,,,VALHO NADA - Malandrex - Eu Até Tentei - Bandida - Te Vi De Legging,,0,64.504.612,11.264.634,64.504.612,VALHO NADA - Malandrex - Eu Até Tentei - Te Vi De Legging,124.002.051,,31.752,,
Mano R7,Aritsta ,Bairro 13,16,21.694,2.926,,,198,200,1.613.734,,,Desculpa - Ak te da bom dia - Rio de Janeiro - Na Relíkia - Quanto tempo tem,1.600,1.402.636,6.036,280.600,1.408.672,Desculpa - Verdades - OLHAR - Rio de Janeiro - Papo Reto,3.303.006,,22.964,,
Amorim,Aritsta ,Bairro 13,2,394.564,308,,,178,154,47.422.740,,,VALHO NADA - Buscando o Melhor,,0,63.577.562,11.124.525,63.577.562,VALHO NADA - Buscando o Melhor,122.124.827,,18.403,,
Budy ,Aritsta ,A Matilha ,11,179.743,1.326.060,,,190,172,85.630.976,,,Dia de Caça - Assault (Angra) - Fiquei Rico Cedo - Os Novos Donos - Reunião de Negócios,299.000,47.871.788,38.248.229,3.924.160,86.120.017,Assault (Angra) - Reunião de Negócios II - Reunião de Negócios - Viagem - Fala pra Mim,175.675.153,,348.663,,
MVK,Aritsta ,A Matilha ,13,588.243,29.760,,,189,165,27.805.318,,,O Tempo É Professor - Exibido - Ei Amor - Ei Amor - Drill 23,37.770,0,32.954.535,4.802.022,32.954.535,Exibido - Ei Amor - Ei Amor (Remix) - Drill 23 - Cidade Profana - Blogueira,65.561.875,,206.242,,
Pedrin ,Aritsta ,A Matilha ,18,150.318,104.628,,,194,179,33.577.446,,,12 - Pouca Idade - V8 - Proibidão 2022 - Rocket,49.700,2.887.724,23.246.383,5.655.006,26.134.107,Pouca Idade - 12 - 15771 - Rocket - Liberdade,65.366.559,,128.565,,
Filhão,Aritsta ,A Matilha ,17,463.669,3.905,,,195,193,3.825.326,,,Sem Sentimento - Acelero - Altura Que Nois Tá - Tropa do Poze Tropa do Sábio 10 Minutinhos 2+1 - Mina Perversa,,92.384,4.217.615,1.122.055,4.309.999,"Sem Sentimento - Altura Que Nois Tá - Na Pista - Que Beat É Esse, Beat Diferente - Ui Piranha Agacha e Mama",9.257.380,,412.777,,
Shenlong,Aritsta ,A Matilha ,10,784.183,31.141,,,78,139,56.022.860,,,Assault (Rio) - Assault Monopólio - Festa na Mainstreet - Vivência de Trap - Neuroses,,0,100.067.220,20.403.354,100.067.220,Assault (Rio) - Assault - Festa na Mainstreet - Neuroses - Vivência de Trap,176.493.434,,104.321,,
DEGE,Aritsta ,A Matilha ,16,102.619,24.193,,,91,185,18.018.347,,,12 - Proibidão 2022 - Quebra Osso - Reconstruir - Pitaya,1.220,37.303,235.767,128.540,273.070,Fases - Joga Pra Raul - Pequenos Valores - Eu Odeio Flash - Joga Essa Nota,18.419.957,,87.018,,
Hashi,Aritsta ,A Matilha ,12,44.567,17.657,,,101,196,2.061.247,,,Acelero - Cristo Redentor - Dá Pra Virar - Confia - Frio na Barriga,,0,708.645,234.280,708.645,Dá Pra Virar - Acelero - Poder Bélico (Paz no CPX) - Cristo Redentor - Traçantes De Parafal,3.004.172,,41.645,,
Benny,Aritsta ,A Matilha ,12,14.379,19.130,,,97,201,4.915.403,,,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Verão 021 - Sem Spoiler,9.860,36.313,8.327.307,1.124.662,8.363.620,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Meu Dinheiro - Verão 021,14.403.685,,25.036,,
Feek ,Aritsta ,A Matilha ,20,232.627,19.997,,,90,166,19.160.944,,,Maridão (feat. Borges & Orochi) - Vivência de Trap - XRE - Floripa - Camuflado,865,13.814,8.178.140,1.043.956,8.191.954,Maridão - Quebra Osso - Acelero - Poder Bélico (Paz no CPX) - Joga Pra Raul,28.396.854,,19.731,,
Oliveira ,Aritsta ,A Matilha ,8,73.719,1.075,,,96,196,5.321.931,,,Duas Doses - Drill 23 - Acelero - Te Ver Voltando - Fetiche,,0,461.164,334.994,461.164,Duas Doses - Acelero - Poder Bélico (Paz no CPX) - Boca - Traçantes De Parafal,6.118.089,,30.182,,
Pior versão de mim ,Aritsta ,A Matilha ,48,109.687,18.442,,,92,182,17.599.900,,,"Gasolina - Proibidão 2022 - Oi Oi, Reflexo de Bolinha - Vulgo Malvadão - Na arte do 157 Remix",2.250,1.243.424,1.451.861,2.110.361,2.695.285,"Oi Oi, Reflexo de Bolinha - Gasolina - Meia Noite - Pitaya - Vulgo Malvadão",22.405.546,,20.293,,
Oreozin ,Aritsta ,A Matilha ,10,87.376,1.216,,,95,183,5.673.821,,,Diamante - Acelero - Baw Baw - Partiu Bailão - Joga Pra Raul,97,20.068,1.274.788,776.846,1.294.856,Diamante - Produto - Acelero - Poder Bélico (Paz no CPX) - Partiu Bailão,7.745.523,,14.576,,
Peziinho,Aritsta ,A Matilha ,4,50.496,261,,,99,194,3.182.131,,,Set do Nemo 1 (Invicto) - Sem Stress - MINHA BITCH - Me Avista,,0,49.244,18.445,49.244,MINHA BITCH - AR 15 - Sem Stress - Me Avista,3.249.820,,14.515,,
Grone,Aritsta ,A Matilha ,19,49.513,1.520,,,100,195,3.115.479,,,Ouro e fuzil - Bota a Cara no Beco - Rival - Novo Artigo 157 - Mundo De Ilusões,6,102.420,1.867.826,115.540,1.970.246,Ouro e fuzil - Rival - Boca - Ak 47 - Velório,5.201.265,,5.970,,
VT no Beat,Produtor ,A Matilha ,34,161.444,2.516,,,93,175,13.991.088,,,Gasolina - Proibidão 2022 - Nós É Só Menorzin - Federal - Quem Diria,591,25.480,96.114.208,1.663.885,96.139.688,Gasolina - Nós É Só Menorzin - Linha Amarela - Federal - Quem Diria,111.794.661,,6.454,,
